ID,ROI,Category,new_ID
1,1_V1_Occipital-Lobe,1,1
3,2_MST_Temporal-Lobe,1,2
5,3_V6_Occipital-Lobe,1,3
7,4_V2_Occipital-Lobe,1,4
9,5_V3_Occipital-Lobe,1,5
11,6_V4_Occipital-Lobe,1,6
13,7_V8_Occipital-Lobe,1,7
15,8_Area-4_Frontal-Lobe,1,8
17,9_Area-3b_Parietal-Lobe,1,9
19,10_FEF_Frontal-Lobe,1,10
21,11_PEF_Parietal-Lobe,1,11
23,12_Area-55b_Frontal-Lobe,1,12
25,13_V3A_Occipital-Lobe,1,13
27,14_RSC_Parietal-Lobe,1,14
29,15_POS2_Parieto-Occipital-Sulcus,1,15
31,16_V7_Occipital-Lobe,1,16
33,17_IPS1_Parietal-Lobe,1,17
35,18_FFC_Temporal-Lobe,1,18
37,19_V3B_Occipital-Lobe,1,19
39,20_LO1_Occipital-Lobe,1,20
41,21_LO2_Occipital-Lobe,1,21
43,22_PIT_Temporal-Lobe,1,22
45,23_MT_Temporal-Lobe,1,23
47,24_A1_Temporal-Lobe,1,24
49,25_PSL_Parietal-Lobe,1,25
51,26_SFL_Frontal-Lobe,1,26
53,27_PCV_Parietal-Lobe,1,27
55,28_STV_Temporal-Lobe,1,28
57,29_7Pm_Parietal-Lobe,1,29
59,30_7m_Parietal-Lobe,1,30
61,31_POS1_Parieto-Occipital-Sulcus,1,31
63,32_23d_Cingulate-Cortex,1,32
65,33_v23ab_Cingulate-Cortex,1,33
67,34_d23ab_Cingulate-Cortex,1,34
69,35_31pv_Cingulate-Cortex,1,35
71,36_5m_Parietal-Lobe,1,36
73,37_5mv_Parietal-Lobe,1,37
75,38_23c_Cingulate-Cortex,1,38
77,39_5L_Parietal-Lobe,1,39
79,40_24dd_Cingulate-Cortex,1,40
81,41_24dv_Cingulate-Cortex,1,41
83,42_7AL_Parietal-Lobe,1,42
85,43_SCEF_Frontal-Lobe,1,43
87,44_6ma_Frontal-Lobe,1,44
89,45_7Am_Parietal-Lobe,1,45
91,46_7PL_Parietal-Lobe,1,46
